"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Anderson","F","Memphis Grizzlies","2018-10-17","IND",5,NA
"2","Anderson","F","Memphis Grizzlies","2018-10-19","ATL",3,7.56041666666667
"3","Anderson","F","Memphis Grizzlies","2018-10-22","UTA",4,9.031625
"4","Anderson","F","Memphis Grizzlies","2018-10-24","SAC",5,6.01595833333333
"5","Anderson","F","Memphis Grizzlies","2018-10-27","PHO",2,8.44533333333334
"6","Anderson","F","Memphis Grizzlies","2018-10-30","WAS",5,7.64033333333333
"7","Anderson","F","Memphis Grizzlies","2018-11-02","UTA",2,8.90366666666666
"8","Anderson","F","Memphis Grizzlies","2018-11-04","PHO",10,8.74825
"9","Anderson","F","Memphis Grizzlies","2018-11-05","GSW",4,11.151875
"10","Anderson","F","Memphis Grizzlies","2018-11-07","DEN",16,10.3008333333333
"11","Anderson","F","Memphis Grizzlies","2018-11-10","PHI",8,7.67883333333334
"12","Anderson","F","Memphis Grizzlies","2018-11-12","UTA",7,9.37470833333333
"13","Anderson","F","Memphis Grizzlies","2018-11-14","MIL",6,9.73995833333333
"14","Anderson","F","Memphis Grizzlies","2018-11-16","SAC",2,8.24933333333333
"15","Anderson","F","Memphis Grizzlies","2018-11-18","MIN",4,7.13791666666666
"16","Anderson","F","Memphis Grizzlies","2018-11-19","DAL",8,9.381375
"17","Anderson","F","Memphis Grizzlies","2018-11-21","SAS",11,8.49625
"18","Anderson","F","Memphis Grizzlies","2018-11-23","LAC",13,6.563
"19","Anderson","F","Memphis Grizzlies","2018-11-25","NYK",4,12.6049166666667
"20","Anderson","F","Memphis Grizzlies","2018-11-27","TOR",13,7.22
"21","Anderson","F","Memphis Grizzlies","2018-11-30","BRK",6,10.2466666666667
"22","Anderson","F","Memphis Grizzlies","2018-12-02","PHI",5,11.0938333333333
"23","Anderson","F","Memphis Grizzlies","2018-12-05","LAC",7,9.63520833333333
"24","Anderson","F","Memphis Grizzlies","2018-12-07","NOP",21,10.1976666666667
"25","Anderson","F","Memphis Grizzlies","2018-12-08","LAL",4,11.238625
"26","Anderson","F","Memphis Grizzlies","2018-12-10","DEN",11,8.41441666666667
"27","Anderson","F","Memphis Grizzlies","2018-12-12","POR",4,9.275875
"28","Anderson","F","Memphis Grizzlies","2018-12-14","MIA",8,6.38716666666667
"30","Anderson","F","Memphis Grizzlies","2018-12-17","GSW",14,8.65933333333333
"31","Anderson","F","Memphis Grizzlies","2018-12-19","POR",15,7.23341666666667
"32","Anderson","F","Memphis Grizzlies","2018-12-21","SAC",10,7.02375
"33","Anderson","F","Memphis Grizzlies","2018-12-23","LAL",2,9.614125
"34","Anderson","F","Memphis Grizzlies","2018-12-26","CLE",17,7.22816666666666
"35","Anderson","F","Memphis Grizzlies","2018-12-29","BOS",10,6.788375
"36","Anderson","F","Memphis Grizzlies","2018-12-31","HOU",24,9.34883333333334
"37","Anderson","F","Memphis Grizzlies","2019-01-02","DET",15,10.0849583333333
"38","Anderson","F","Memphis Grizzlies","2019-01-04","BRK",11,7.05379166666667
"39","Anderson","F","Memphis Grizzlies","2019-01-05","SAS",7,12.591
"40","Anderson","F","Memphis Grizzlies","2019-01-07","NOP",7,7.0065
"41","Anderson","F","Memphis Grizzlies","2019-01-09","SAS",9,9.00120833333333
"42","Anderson","F","Memphis Grizzlies","2019-01-12","MIA",2,6.61016666666667
"51","Anderson","F","Memphis Grizzlies","2019-01-28","DEN",9,10.68825
