,Player,Position,Team,Date,Opp,Fantasy_Score,predictions_2019
1,Bradley,PG,Los Angeles Clippers,17-10-18,DEN,8,NA
2,Bradley,PG,Los Angeles Clippers,19-10-18,OKC,5,16.84305205
3,Bradley,PG,Los Angeles Clippers,21-10-18,HOU,4,16.13906153
4,Bradley,PG,Los Angeles Clippers,23-10-18,NOP,2,14.73669238
5,Bradley,PG,Los Angeles Clippers,26-10-18,HOU,16,16.50291656
6,Bradley,PG,Los Angeles Clippers,28-10-18,WAS,21,19.76612291
7,Bradley,PG,Los Angeles Clippers,30-10-18,OKC,11,14.81480061
8,Bradley,PG,Los Angeles Clippers,01-11-18,PHI,2,13.30354911
9,Bradley,PG,Los Angeles Clippers,02-11-18,ORL,9,17.12935534
16,Bradley,PG,Los Angeles Clippers,19-11-18,ATL,5,14.82454494
17,Bradley,PG,Los Angeles Clippers,20-11-18,WAS,4,18.23660792
18,Bradley,PG,Los Angeles Clippers,23-11-18,MEM,13,15.65864981
19,Bradley,PG,Los Angeles Clippers,25-11-18,POR,4,18.87344192
20,Bradley,PG,Los Angeles Clippers,28-11-18,PHO,0,15.33082117
21,Bradley,PG,Los Angeles Clippers,29-11-18,SAC,24,16.01584694
22,Bradley,PG,Los Angeles Clippers,02-12-18,DAL,16,14.25846882
23,Bradley,PG,Los Angeles Clippers,03-12-18,NOP,17,15.27873274
24,Bradley,PG,Los Angeles Clippers,05-12-18,MEM,7,14.47879752
25,Bradley,PG,Los Angeles Clippers,08-12-18,MIA,9,15.57251211
26,Bradley,PG,Los Angeles Clippers,10-12-18,PHO,8,13.19387915
27,Bradley,PG,Los Angeles Clippers,11-12-18,TOR,0,18.29239811
28,Bradley,PG,Los Angeles Clippers,13-12-18,SAS,21,14.53523006
29,Bradley,PG,Los Angeles Clippers,15-12-18,OKC,14,18.21383663
30,Bradley,PG,Los Angeles Clippers,17-12-18,POR,0,15.82911951
31,Bradley,PG,Los Angeles Clippers,20-12-18,DAL,2,15.42719094
32,Bradley,PG,Los Angeles Clippers,22-12-18,DEN,11,13.04528618
33,Bradley,PG,Los Angeles Clippers,23-12-18,GSW,16,17.63338889
34,Bradley,PG,Los Angeles Clippers,26-12-18,SAC,19,17.24328334
35,Bradley,PG,Los Angeles Clippers,28-12-18,LAL,8,17.86603798
36,Bradley,PG,Los Angeles Clippers,29-12-18,SAS,14,13.06961132
37,Bradley,PG,Los Angeles Clippers,01-01-19,PHI,6,14.24527597
38,Bradley,PG,Los Angeles Clippers,04-01-19,PHO,2,14.71342563
39,Bradley,PG,Los Angeles Clippers,06-01-19,ORL,9,13.9374966
40,Bradley,PG,Los Angeles Clippers,08-01-19,CHO,14,14.87793568
41,Bradley,PG,Los Angeles Clippers,10-01-19,DEN,2,18.55529762
42,Bradley,PG,Los Angeles Clippers,12-01-19,DET,5,16.37954953
43,Bradley,PG,Los Angeles Clippers,14-01-19,NOP,15,15.15370862
44,Bradley,PG,Los Angeles Clippers,16-01-19,UTA,21,13.64544264
45,Bradley,PG,Los Angeles Clippers,18-01-19,GSW,6,16.45330447
46,Bradley,PG,Los Angeles Clippers,20-01-19,SAS,21,14.03769393
47,Bradley,PG,Los Angeles Clippers,22-01-19,DAL,21,15.35932746
48,Bradley,PG,Los Angeles Clippers,23-01-19,MIA,16,19.38735544
49,Bradley,PG,Los Angeles Clippers,25-01-19,CHI,13,15.03360317
50,Bradley,PG,Los Angeles Clippers,27-01-19,SAC,16,15.25563652
51,Bradley,PG,Los Angeles Clippers,28-01-19,ATL,20,19.24822835
52,Bradley,PG,Los Angeles Clippers,31-01-19,LAL,17,13.78840023
53,Bradley,PG,Los Angeles Clippers,02-02-19,DET,10,17.90494759
54,Bradley,PG,Los Angeles Clippers,03-02-19,TOR,4,14.9649127
55,Bradley,PG,Los Angeles Clippers,05-02-19,CHO,8,15.42233787
56,Bradley,PG,Los Angeles Clippers,09-02-19,NOP,12,18.6183237
57,Bradley,PG,Los Angeles Clippers,12-02-19,SAS,39,13.33977984
58,Bradley,PG,Los Angeles Clippers,13-02-19,CHI,17,15.09372315
59,Bradley,PG,Los Angeles Clippers,22-02-19,LAC,19,14.94796465
60,Bradley,PG,Los Angeles Clippers,23-02-19,CLE,4,17.74580988
61,Bradley,PG,Los Angeles Clippers,25-02-19,LAL,21,18.41991899
62,Bradley,PG,Los Angeles Clippers,27-02-19,CHI,29,18.98354283
63,Bradley,PG,Los Angeles Clippers,02-03-19,DAL,21,20.46326948
64,Bradley,PG,Los Angeles Clippers,03-03-19,OKC,31,17.94738719
65,Bradley,PG,Los Angeles Clippers,05-03-19,POR,20,18.74854582
66,Bradley,PG,Los Angeles Clippers,08-03-19,UTA,9,18.210146
67,Bradley,PG,Los Angeles Clippers,10-03-19,ORL,27,18.69654015
68,Bradley,PG,Los Angeles Clippers,13-03-19,ATL,5,18.82355303
