"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","LaVine","SG","Chicago Bulls","2018-10-18","PHI",34,NA
"2","LaVine","SG","Chicago Bulls","2018-10-20","DET",37,22.694157032782
"3","LaVine","SG","Chicago Bulls","2018-10-22","DAL",44,23.0672978965479
"4","LaVine","SG","Chicago Bulls","2018-10-24","CHO",34,22.2619040589041
"5","LaVine","SG","Chicago Bulls","2018-10-26","CHO",28,21.7385607725608
"6","LaVine","SG","Chicago Bulls","2018-10-27","ATL",29,23.0863636594887
"7","LaVine","SG","Chicago Bulls","2018-10-29","GSW",25,19.6402453842454
"8","LaVine","SG","Chicago Bulls","2018-10-31","DEN",32,21.6766751581752
"9","LaVine","SG","Chicago Bulls","2018-11-02","IND",24,21.7792408147408
"10","LaVine","SG","Chicago Bulls","2018-11-03","HOU",23,22.8538415242165
"11","LaVine","SG","Chicago Bulls","2018-11-05","NYK",49,20.1792034354534
"12","LaVine","SG","Chicago Bulls","2018-11-07","NOP",26,20.5939024309024
"13","LaVine","SG","Chicago Bulls","2018-11-10","CLE",26,21.6175986513486
"14","LaVine","SG","Chicago Bulls","2018-11-12","DAL",26,21.2152869306619
"15","LaVine","SG","Chicago Bulls","2018-11-14","BOS",10,18.9260487614238
"16","LaVine","SG","Chicago Bulls","2018-11-16","MIL",17,21.9539907129907
"18","LaVine","SG","Chicago Bulls","2018-11-21","PHO",31,21.2632265836016
"19","LaVine","SG","Chicago Bulls","2018-11-23","MIA",26,20.2270318200318
"20","LaVine","SG","Chicago Bulls","2018-11-24","MIN",28,19.6032852425352
"21","LaVine","SG","Chicago Bulls","2018-11-26","SAS",34,21.2958224645725
"22","LaVine","SG","Chicago Bulls","2018-11-28","MIL",28,22.1782532005032
"23","LaVine","SG","Chicago Bulls","2018-11-30","DET",8,21.3179569042069
"24","LaVine","SG","Chicago Bulls","2018-12-01","HOU",33,20.760590992341
"25","LaVine","SG","Chicago Bulls","2018-12-04","IND",15,23.310069009694
"26","LaVine","SG","Chicago Bulls","2018-12-07","OKC",29,20.1338903457654
"27","LaVine","SG","Chicago Bulls","2018-12-08","BOS",11,20.2543181956932
"28","LaVine","SG","Chicago Bulls","2018-12-10","SAC",25,22.3893440679691
"29","LaVine","SG","Chicago Bulls","2018-12-13","ORL",27,20.615305994931
"35","LaVine","SG","Chicago Bulls","2018-12-26","MIN",34,20.2409877668628
"36","LaVine","SG","Chicago Bulls","2018-12-28","WAS",30,23.4587877909128
"37","LaVine","SG","Chicago Bulls","2018-12-30","TOR",13,20.6186717911718
"38","LaVine","SG","Chicago Bulls","2019-01-02","ORL",16,24.0519394078144
"39","LaVine","SG","Chicago Bulls","2019-01-04","IND",41,19.3222488899989
"40","LaVine","SG","Chicago Bulls","2019-01-06","BRK",31,22.3402487512488
"41","LaVine","SG","Chicago Bulls","2019-01-09","POR",22,22.2889383255633
"42","LaVine","SG","Chicago Bulls","2019-01-11","GSW",35,22.9462243728494
"43","LaVine","SG","Chicago Bulls","2019-01-12","UTA",25,23.0616475607726
"44","LaVine","SG","Chicago Bulls","2019-01-15","LAL",12,23.2329593092093
"45","LaVine","SG","Chicago Bulls","2019-01-17","DEN",8,18.5988308543309
"46","LaVine","SG","Chicago Bulls","2019-01-19","MIA",26,21.9601552752803
"47","LaVine","SG","Chicago Bulls","2019-01-21","CLE",31,21.1350033762534
"48","LaVine","SG","Chicago Bulls","2019-01-23","ATL",27,22.2597851777852
"49","LaVine","SG","Chicago Bulls","2019-01-25","LAC",33,22.0561139231139
"50","LaVine","SG","Chicago Bulls","2019-01-27","CLE",17,23.9415738798239
"51","LaVine","SG","Chicago Bulls","2019-01-29","BRK",28,22.679770997521
"53","LaVine","SG","Chicago Bulls","2019-02-02","CHO",20,21.3936729335479
"54","LaVine","SG","Chicago Bulls","2019-02-06","NOP",34,20.3872361573611
"55","LaVine","SG","Chicago Bulls","2019-02-08","BRK",28,22.6920877687128
"56","LaVine","SG","Chicago Bulls","2019-02-09","WAS",26,21.8917941456691
"57","LaVine","SG","Chicago Bulls","2019-02-11","MIL",35,22.912013033263
"58","LaVine","SG","Chicago Bulls","2019-02-13","MEM",17,22.643425999926
"59","LaVine","SG","Chicago Bulls","2019-02-22","ORL",32,17.245777010027
"60","LaVine","SG","Chicago Bulls","2019-02-23","BOS",52,21.0319356199356
"61","LaVine","SG","Chicago Bulls","2019-02-25","MIL",15,23.0074789099789
"62","LaVine","SG","Chicago Bulls","2019-02-27","MEM",34,19.835639023014
"63","LaVine","SG","Chicago Bulls","2019-03-01","ATL",59,21.6053548627299
"64","LaVine","SG","Chicago Bulls","2019-03-03","ATL",12,22.4704865967366
"65","LaVine","SG","Chicago Bulls","2019-03-05","IND",31,23.0584476634477
"66","LaVine","SG","Chicago Bulls","2019-03-06","PHI",43,21.9926473202723
"67","LaVine","SG","Chicago Bulls","2019-03-08","DET",26,20.6994509518259
"70","LaVine","SG","Chicago Bulls","2019-03-15","LAC",37,23.1436133126133
"71","LaVine","SG","Chicago Bulls","2019-03-17","SAC",22,21.2593274410775
